BirthDate,Colleges,Feet,From,Inches,Player,PlayerAdditional,Pos,To,Weight,_id
June 24 1968,Duke,6,1991,10,Alaa Abdelnaby,abdelal01,F-C,1995,240,63af8fcbabaabaf6d8915689
April 7 1946,Iowa State,6,1969,9,Zaid Abdul-Aziz,abdulza01,C-F,1978,235,63af8fcbabaabaf6d891568a
March 9 1969,LSU,6,1991,1,Mahmoud Abdul-Rauf,abdulma02,G,2001,162,63af8fcbabaabaf6d891568c
November 3 1974,Michigan San Jose State,6,1998,6,Tariq Abdul-Wahad,abdulta01,F,2003,223,63af8fcbabaabaf6d891568d
December 11 1976,California,6,1997,9,Shareef Abdur-Rahim,abdursh01,F,2008,225,63af8fcbabaabaf6d891568e
May 6 1954,Indiana,6,1977,7,Tom Abernethy,abernto01,F,1981,220,63af8fcbabaabaf6d891568f
July 27 1932,Western Kentucky,6,1957,3,Forest Able,ablefo01,G,1957,180,63af8fcbabaabaf6d8915690
February 9 1919,Salem University,6,1947,3,John Abramovic,abramjo01,F,1948,195,63af8fcbabaabaf6d8915691
August 1 1993,,6,2017,6,Álex Abrines,abrinal01,G-F,2019,200,63af8fcbabaabaf6d8915692
September 19 1999,Memphis,6,2021,8,Precious Achiuwa,achiupr01,F,2023,225,63af8fcbabaabaf6d8915693
January 21 1983,Pepperdine,6,2006,5,Alex Acker,ackeral01,G,2009,185,63af8fcbabaabaf6d8915694
September 4 1930,Long Island University,6,1954,1,Don Ackerman,ackerdo01,G,1954,183,63af8fcbabaabaf6d8915695
November 15 1962,Oral Roberts,6,1988,11,Mark Acres,acresma01,F-C,1993,220,63af8fcbabaabaf6d8915696
January 11 1942,Hillsdale College,6,1968,6,Bud Acton,actonbu01,F,1968,210,63af8fcbabaabaf6d8915697
October 6 1990,Baylor,6,2013,7,Quincy Acy,acyqu01,F-C,2019,240,63af8fcbabaabaf6d8915698
